item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size,_id
[CL] 베라모스 블레이드,0,도검,5,12713,0,27,0,0.73,0.5,75,75,1,2,1,Y,17,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/31.gif,N,소형,5b359607ce52634c605eb9f5
[CL] 베라모스 스피어,0,장창,5,4000,0,25,0,0.7,0.6,68,75,1,2,1,Y,18,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4001.gif,N,소형,5b359607ce52634c605eb9f6
[CL] 베라모스 메이스,0,둔기,5,13080,0,27,0,0.65,0.4,108,27,1,2,1,Y,19,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/130.gif,N,중형,5b359607ce52634c605eb9f7
[CL] 베라모스 엑스,0,도끼,5,10877,0,30,0,0.69,0.45,95,35,1,2,1,Y,20,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/132.gif,N,중형,5b359607ce52634c605eb9f8
[CL] 처형자의 검,0,도검,6,26015,0,24,0,0.7,0.5,98,75,1,2,1,Y,21,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/34.gif,N,소형,5b359607ce52634c605eb9f9
[CL] 처형자의 창,0,장창,6,7707,0,24,0,0.68,0.55,75,75,1,2,1,Y,22,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/135.gif,N,소형,5b359607ce52634c605eb9fa
[CL] 언월도,0,미늘창,6,4949,0,21,0,0.65,0,110,32,1,2,1,Y,23,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,N,중형,5b359607ce52634c605eb9fb
[CL] 처형자의 해머,0,둔기,6,30853,0,20,0,0.63,0.35,150,25,1,2,1,Y,25,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4063.gif,N,중형,5b359607ce52634c605eb9fc
[CL] 처형자의 도끼,0,도끼,6,25122,0,27,0,0.67,0.4,130,35,1,2,1,Y,26,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4004.gif,N,중형,5b359607ce52634c605eb9fd
[CL] 청룡창,0,장창,7,9653,0,22,0,0.65,0.6,99,70,1,2,1,Y,27,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4064.gif,N,소형,5b359607ce52634c605eb9fe
