item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size,_id
나무각목,3,없음,1,2,0,0,0,0.95,0.8,3,1,1,2,1,N,101000,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/5.gif,N,소형,5b35917aa844441bf88b2719
참나무 야구방망이,80,없음,1,5,0,0,0,0.8,0.5,4,1,1,2,1,N,101001,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/7.gif,N,소형,5b35917aa844441bf88b271a
알루미늄 파이프,190,없음,1,10,0,0,0,0.8,0.95,6,1,1,2,1,N,101002,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/9.gif,N,소형,5b35917aa844441bf88b271b
고급참나무 야구방망이,740,없음,1,15,0,0,0,0.8,0.95,8,1,1,2,1,N,101003,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/7.gif,N,소형,5b35917aa844441bf88b271c
일본도,2800,도검,1,23,0,35,0,0.9,0.7,12,1,1,2,1,N,101004,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/13.gif,N,소형,5b35917aa844441bf88b271d
철퇴,15000,둔기,2,128,0,38,0,0.8,0.6,30,1,1,2,1,N,101005,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/16.gif,N,소형,5b35917aa844441bf88b271e
장검,41000,도검,2,86,0,35,0,0.85,0.7,21,1,1,2,1,N,101006,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/19.gif,N,소형,5b35917aa844441bf88b271f
강철창,92000,장창,2,63,0,32,0,0.77,0.8,25,1,1,2,1,N,101007,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4034.gif,N,소형,5b35917aa844441bf88b2720
강철도끼,99000,도끼,2,207,0,37,0,0.75,0.6,33,1,1,2,1,N,101008,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/128.gif,N,중형,5b35917aa844441bf88b2721
양날도끼,140000,도끼,3,406,0,35,0,0.73,0.5,37,1,1,2,1,N,101009,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/22.gif,N,중형,5b35917aa844441bf88b2722
양손검,485000,도검,3,328,0,32,0,0.78,0.6,40,1,1,2,1,N,101010,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/25.gif,N,소형,5b35917aa844441bf88b2723
양손장창,650000,장창,3,148,0,32,0,0.75,0.75,30,1,1,2,1,N,101011,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4034.gif,N,소형,5b35917aa844441bf88b2724
산타보따리,846000,둔기,3,831,0,35,0,0.75,0.4,55,1,1,2,1,N,101012,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4095.gif,N,중형,5b35917aa844441bf88b2725
언필드의 창,1499000,장창,4,266,0,27,0,0.75,0.6,60,1,1,2,1,N,101013,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/28.gif,N,소형,5b35917aa844441bf88b2726
언필드의 검,2830000,도검,4,589,0,30,0,0.8,0.5,48,1,1,2,1,N,101014,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4005.gif,N,소형,5b35917aa844441bf88b2727
언필드의 도끼,3540000,도끼,4,897,0,32,0,0.71,0.45,66,1,1,2,1,N,101015,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/131.gif,N,중형,5b35917aa844441bf88b2728
언필드의 해머,4230000,둔기,4,1507,0,33,0,0.7,0.4,73,1,1,2,1,N,101016,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4000.gif,N,중형,5b35917aa844441bf88b2729
베라모스 블레이드,5540000,도검,5,6319,0,27,0,0.73,0.5,75,1,1,2,1,N,101017,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/31.gif,N,소형,5b35917aa844441bf88b272a
베라모스 스피어,12980000,장창,5,549,0,25,0,0.7,0.6,68,1,1,2,1,N,101018,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4001.gif,N,소형,5b35917aa844441bf88b272b
베라모스 메이스,14150000,둔기,5,7315,0,27,0,0.65,0.4,108,1,1,2,1,N,101019,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/130.gif,N,중형,5b35917aa844441bf88b272c
베라모스 엑스,19800000,도끼,5,6335,0,30,0,0.69,0.45,95,1,1,2,1,N,101020,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/132.gif,N,중형,5b35917aa844441bf88b272d
처형자의 검,25100000,도검,6,12970,0,24,0,0.7,0.5,98,1,1,2,1,N,101021,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/34.gif,N,소형,5b35917aa844441bf88b272e
처형자의 창,39800000,장창,6,1304,0,22,0,0.68,0.55,75,1,1,2,1,N,101022,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/135.gif,N,소형,5b35917aa844441bf88b272f
언월도,48120000,미늘창,6,2451,0,21,0,0.65,0,110,1,1,2,1,N,101023,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,N,중형,5b35917aa844441bf88b2730
언월도(경량),48120000,미늘창,6,2541,0,21,0,0.65,0,88,1,1,2,1,N,101024,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,N,소형,5b35917aa844441bf88b2731
처형자의 해머,68500000,둔기,6,15270,0,20,0,0.63,0.35,150,1,1,2,1,N,101025,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4063.gif,N,중형,5b35917aa844441bf88b2732
처형자의 도끼,79800000,도끼,6,12524,0,27,0,0.67,0.4,130,1,1,2,1,N,101026,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4004.gif,N,중형,5b35917aa844441bf88b2733
청룡창,136400000,장창,7,1607,0,22,0,0.65,0.6,99,1,1,2,1,N,101027,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4064.gif,N,소형,5b35917aa844441bf88b2734
청룡언월도,189000000,미늘창,7,3082,0,17,0,0.6,0,125,1,1,2,1,N,101028,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,N,중형,5b35917aa844441bf88b2735
청룡언월도(경량),189000000,미늘창,7,3197,0,17,0,0.6,0,100,1,1,2,1,N,101029,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,N,소형,5b35917aa844441bf88b2736
청룡해머,210000000,둔기,7,19422,0,18,0,0.6,0.3,210,1,1,2,1,N,101030,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/134.gif,N,중형,5b35917aa844441bf88b2737
청룡검,249800000,도검,7,16236,0,23,0,0.67,0.6,135,1,1,2,1,N,101031,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4065.gif,N,소형,5b35917aa844441bf88b2738
청룡도끼,295300000,도끼,7,16088,0,24,0,0.64,0.45,170,1,1,2,1,N,101032,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4062.gif,N,중형,5b35917aa844441bf88b2739
노틸러스 스피어,302000000,장창,8,2294,0,20,0,0.62,0.6,130,1,1,2,1,N,101033,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/156.gif,N,소형,5b35917aa844441bf88b273a
노틸러스 해머,414500000,둔기,8,24971,0,16,0,0.57,0.3,250,1,1,2,1,N,101034,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/157.gif,N,중형,5b35917aa844441bf88b273b
노틸러스 소드,517000000,도검,8,20315,0,22,0,0.64,0.65,160,1,1,2,1,N,101035,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/159.gif,N,소형,5b35917aa844441bf88b273c
노틸러스 엑스,578000000,도끼,8,20663,0,23,0,0.61,0.4,215,1,1,2,1,N,101036,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/158.gif,N,중형,5b35917aa844441bf88b273d
노틸러스 핼버드,598000000,미늘창,8,3954,0,16,0,0.56,0,198,1,1,2,1,N,101037,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/160.gif,N,중형,5b35917aa844441bf88b273e
노틸러스 핼버드(경량),598000000,미늘창,8,4015,0,16,0,0.56,0,158,1,1,2,1,N,101038,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/160.gif,N,소형,5b35917aa844441bf88b273f
Deathly Lance,675000000,장창,9,2867,0,18,0,0.61,0.5,180,1,1,2,1,N,101039,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/331.gif,N,소형,5b35917aa844441bf88b2740
