item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size,_id
나무각목,3,없음,1,2,0,0,0,0.95,0.8,3,1,1,2,1,N,10100,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/5.gif,,,5b35917aa844441bf88b2719
참나무 야구방망이,80,없음,1,5,0,0,0,0.8,0.5,4,1,1,2,1,N,10101,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/7.gif,,,5b35917aa844441bf88b271a
알루미늄 파이프,190,없음,1,10,0,0,0,0.8,0.95,6,1,1,2,1,N,10102,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/9.gif,,,5b35917aa844441bf88b271b
고급참나무 야구방망이,740,없음,1,15,0,0,0,0.8,0.95,8,1,1,2,1,N,10103,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/7.gif,,,5b35917aa844441bf88b271c
일본도,2800,도검,1,23,0,0,0,0.9,0.7,12,1,1,2,1,N,10104,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/13.gif,,,5b35917aa844441bf88b271d
철퇴,15000,둔기,2,128,0,0,0,0.8,0.6,30,1,1,2,1,N,10105,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/16.gif,,,5b35917aa844441bf88b271e
장검,41000,도검,2,86,0,0,0,0.85,0.7,21,1,1,2,1,N,10106,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/19.gif,,,5b35917aa844441bf88b271f
강철창,92000,장창,2,63,0,0,0,0.77,0.8,25,1,1,2,1,N,10107,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4034.gif,,,5b35917aa844441bf88b2720
강철도끼,99000,도끼,2,207,0,0,0,0.75,0.6,33,1,1,2,1,N,10108,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/128.gif,,,5b35917aa844441bf88b2721
양날도끼,140000,도끼,3,406,0,0,0,0.73,0.5,37,1,1,2,1,N,10109,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/22.gif,,,5b35917aa844441bf88b2722
양손검,485000,도검,3,328,0,0,0,0.78,0.6,40,1,1,2,1,N,10110,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/25.gif,,,5b35917aa844441bf88b2723
양손장창,650000,장창,3,148,0,0,0,0.75,0.75,30,1,1,2,1,N,10111,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4034.gif,,,5b35917aa844441bf88b2724
산타보따리,846000,둔기,3,831,0,0,0,0.75,0.4,55,1,1,2,1,N,10112,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4095.gif,,,5b35917aa844441bf88b2725
언필드의 창,1499000,장창,4,266,0,0,0,0.75,0.6,60,1,1,2,1,N,10113,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/28.gif,,,5b35917aa844441bf88b2726
언필드의 검,2830000,도검,4,589,0,0,0,0.8,0.5,48,1,1,2,1,N,10114,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4005.gif,,,5b35917aa844441bf88b2727
언필드의 도끼,3540000,도끼,4,897,0,0,0,0.71,0.45,66,1,1,2,1,N,10115,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/131.gif,,,5b35917aa844441bf88b2728
언필드의 해머,4230000,둔기,4,1507,0,0,0,0.7,0.4,73,1,1,2,1,N,10116,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4000.gif,,,5b35917aa844441bf88b2729
베라모스 블레이드,5540000,도검,5,6319,0,0,0,0.73,0.5,75,1,1,2,1,N,10117,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/31.gif,,,5b35917aa844441bf88b272a
베라모스 스피어,12980000,장창,5,549,0,0,0,0.7,0.6,68,1,1,2,1,N,10118,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4001.gif,,,5b35917aa844441bf88b272b
베라모스 메이스,14150000,둔기,5,7315,0,0,0,0.65,0.4,108,1,1,2,1,N,10119,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/130.gif,,,5b35917aa844441bf88b272c
베라모스 엑스,19800000,도끼,5,6335,0,0,0,0.69,0.45,95,1,1,2,1,N,10120,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/132.gif,,,5b35917aa844441bf88b272d
처형자의 검,25100000,도검,6,12970,0,0,0,0.7,0.5,98,1,1,2,1,N,10121,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/34.gif,,,5b35917aa844441bf88b272e
처형자의 창,39800000,장창,6,1304,0,0,0,0.68,0.55,75,1,1,2,1,N,10122,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/135.gif,,,5b35917aa844441bf88b272f
언월도,48120000,미늘창,6,2451,0,0,0,0.65,0,110,1,1,2,1,N,10123,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,,,5b35917aa844441bf88b2730
언월도(경량),48120000,미늘창,6,2541,0,0,0,0.65,0,88,1,1,2,1,N,10124,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,,,5b35917aa844441bf88b2731
처형자의 해머,68500000,둔기,6,15270,0,0,0,0.63,0.35,150,1,1,2,1,N,10125,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4063.gif,,,5b35917aa844441bf88b2732
처형자의 도끼,79800000,도끼,6,12524,0,0,0,0.67,0.4,130,1,1,2,1,N,10126,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4004.gif,,,5b35917aa844441bf88b2733
청룡창,136400000,장창,7,1607,0,0,0,0.65,0.6,99,1,1,2,1,N,10127,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4064.gif,,,5b35917aa844441bf88b2734
청룡언월도,189000000,미늘창,7,3082,0,0,0,0.6,0,125,1,1,2,1,N,10128,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,,,5b35917aa844441bf88b2735
청룡언월도(경량),189000000,미늘창,7,3197,0,0,0,0.6,0,100,1,1,2,1,N,10129,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4002.gif,,,5b35917aa844441bf88b2736
청룡해머,210000000,둔기,7,19422,0,0,0,0.6,0.3,210,1,1,2,1,N,10130,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/134.gif,,,5b35917aa844441bf88b2737
청룡검,249800000,도검,7,16236,0,0,0,0.67,0.6,135,1,1,2,1,N,10131,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4065.gif,,,5b35917aa844441bf88b2738
청룡도끼,295300000,도끼,7,16088,0,0,0,0.64,0.45,170,1,1,2,1,N,10132,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4062.gif,,,5b35917aa844441bf88b2739
노틸러스 스피어,302000000,장창,8,2294,0,0,0,0.62,0.6,130,1,1,2,1,N,10133,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/156.gif,,,5b35917aa844441bf88b273a
노틸러스 해머,414500000,둔기,8,24971,0,0,0,0.57,0.3,250,1,1,2,1,N,10134,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/157.gif,,,5b35917aa844441bf88b273b
노틸러스 소드,517000000,도검,8,20315,0,0,0,0.64,0.65,160,1,1,2,1,N,10135,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/159.gif,,,5b35917aa844441bf88b273c
노틸러스 엑스,578000000,도끼,8,20663,0,0,0,0.61,0.4,215,1,1,2,1,N,10136,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/158.gif,,,5b35917aa844441bf88b273d
노틸러스 핼버드,598000000,미늘창,8,3954,0,0,0,0.56,0,198,1,1,2,1,N,10137,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/160.gif,,,5b35917aa844441bf88b273e
노틸러스 핼버드(경량),598000000,미늘창,8,4015,0,0,0,0.56,0,158,1,1,2,1,N,10138,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/160.gif,,,5b35917aa844441bf88b273f
Deathly Lance,675000000,장창,9,2867,0,0,0,0.61,0.5,180,1,1,2,1,N,10139,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/331.gif,,,5b35917aa844441bf88b2740
Deathly Hammer,815000000,둔기,9,31180,0,0,0,0.56,0.3,320,1,1,2,1,N,10140,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/328.gif,,,5b35917aa844441bf88b2741
Deathly Blade,1050000000,도검,9,25417,0,0,0,0.63,0.55,195,1,1,2,1,N,10141,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/329.gif,,,5b35917aa844441bf88b2742
Deathly Axe,1350000000,도끼,9,25927,0,0,0,0.6,0.5,270,1,1,2,1,N,10142,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/330.gif,,,5b35917aa844441bf88b2743
Deathly Harvester,1499000000,미늘창,9,4949,0,0,0,0.54,0,220,1,1,2,1,N,10143,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4003.gif,,,5b35917aa844441bf88b2744
Deathly Harvester(경량),1499000000,미늘창,9,5039,0,0,0,0.54,0,176,1,1,2,1,N,10144,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4003.gif,,,5b35917aa844441bf88b2745
the Spear of SIN,1610000000,장창,10,3452,0,0,0,0.6,0.55,240,1,1,2,1,N,10145,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/388.gif,,,5b35917aa844441bf88b2746
the Mace of SIN,2100000000,둔기,10,38590,0,0,0,0.55,0.25,360,1,1,2,1,N,10146,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/392.gif,,,5b35917aa844441bf88b2747
the Sword of SIN,2850000000,도검,10,31813,0,0,0,0.62,0.5,260,1,1,2,1,N,10147,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/401.gif,,,5b35917aa844441bf88b2748
the AXE of SIN,3990000000,도끼,10,32503,0,0,0,0.59,0.55,320,1,1,2,1,N,10148,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/402.gif,,,5b35917aa844441bf88b2749
the Weapon of SIN,4492000000,미늘창,10,6203,0,0,0,0.52,0,320,1,1,2,1,N,10149,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/wp3_33.gif,,,5b35917aa844441bf88b274a
Gaia Blade,,도검,11,8038,0,0,0,0.63,0.5,338,1,1,2,1,N,10150,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/11-2110.gif,,,5b35917aa844441bf88b274b
Gaia Hammer,,둔기,11,7916,0,0,0,0.55,0.25,360,1,1,2,1,N,10151,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/11-2379.gif,,,5b35917aa844441bf88b274c
Gaia Axe,,도끼,11,7449,0,0,0,0.55,0.55,350,1,1,2,1,N,10152,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/11-2380.gif,,,5b35917aa844441bf88b274d
Gaia Spear,,장창,11,3602,0,0,0,0.58,0.55,312,1,1,2,1,N,10153,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/11-2460.gif,,,5b35917aa844441bf88b274e
Gaia Halberd,,미늘창,11,2889,0,0,0,0.52,0,307,1,1,2,1,N,10154,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/11-2480.gif,,,5b35917aa844441bf88b274f
Ultimate Sword,,도검,12,8440,0,0,0,0.7,0.48,350,1,1,2,1,N,10155,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/Ultimate_Sword_02.gif,,,5b35917aa844441bf88b2750
Ultimate Hammer,,둔기,12,8700,0,0,0,0.6,0.3,380,1,1,2,1,N,10156,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/Ultimate_Hammer_02.gif,,,5b35917aa844441bf88b2751
Ultimate Axe,,도끼,12,7800,0,0,0,0.65,0.55,370,1,1,2,1,N,10157,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/Ultimate_Axe_02.gif,,,5b35917aa844441bf88b2752
Ultimate Spear,,장창,12,3750,0,0,0,0.6,0.6,330,1,1,2,1,N,10158,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/Ultimate_Spear_02.gif,,,5b35917aa844441bf88b2753
Ultimate Halberd,,미늘창,12,3300,0,0,0,0.55,0,320,1,1,2,1,N,10159,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/Ultimate_Halberd_02.gif,,,5b35917aa844441bf88b2754
Heavenly Sword,,도검,12,52357,0,38,0,0.72,0.48,367,57,1,2,1,N,10160,/resource/img/CB053.gif,,소형,5b67e9944964f6063c5cec32
