item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size,_id
[지원] 노틸러스 스피어,0,장창,3,12066,0,21,0,0.62,0.95,130,70,1,2,1,Y,0,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/156.gif,N,소형,5b76866001864d0bd4541385
[CL] ChainSaw Edge(Critical),0,도검,8,50008,0,66,0,0.27,0.65,0,70,1,2,1,Y,1,/resource/img/CB001.gif,Y,소형,5b48669e0c8b05387043e464
[지원] 노틸러스 해머,0,둔기,3,49951,0,16,0,0.57,0.5,250,19,1,2,1,Y,0,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/157.gif,N,중형,5b76866001864d0bd4541386
[CL] Armament Axe,0,도끼,8,48016,0,44,0,0.55,0.65,0,35,1,2,1,Y,2,/resource/img/CB002.gif,Y,중형,5b48669e0c8b05387043e465
[지원] 노틸러스 소드,0,도검,3,39825,0,22,0,0.64,1,160,70,1,2,1,Y,0,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/159.gif,N,소형,5b76866001864d0bd4541387
[CL] Pinkie Hammer Head,0,둔기,8,62060,0,15,0,0.55,0.65,0,17,1,2,1,Y,3,/resource/img/CB003.gif,Y,대형,5b48669e0c8b05387043e466
[지원] 노틸러스 엑스,0,도끼,3,41346,0,23,0,0.61,0.6,215,27,1,2,1,Y,0,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/158.gif,N,중형,5b76866001864d0bd4541388
[CL] Axis T halberd,0,미늘창,8,10124,0,18,0,0.75,0,0,25,1,2,1,Y,4,/resource/img/CB004.gif,Y,중형,5b48669e0c8b05387043e467
[CL] 암영(暗影),0,장창,8,2254,0,22,0,0.64,0.65,0,70,1,2,1,Y,5,/resource/img/CB005.gif,Y,소형,5b48669e0c8b05387043e468
[CL] Deathly Blade Ignition,0,도검,9,51423,0,22,0,0.62,0.65,0,60,1,2,1,Y,6,/resource/img/CB006.gif,Y,중형,5b48669e0c8b05387043e469
[CL] Western Blade,0,도검,9,61787,0,0,0,0.36,0.65,0,46,1,2,1,Y,7,/resource/img/CB007.gif,Y,중형,5b48669e0c8b05387043e46a
