item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size,_id
Hammerli 스포츠권총,500,권총,1,20,0,28,0,0.8,0.95,28,48,1,1,1,N,103000,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,소형,5b35915fa844441bf88b26ad
Hammerli 스포츠기관총,1500,기관총,1,4,0,28,0,0.65,0.95,28,300,1,1,1,N,103001,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,소형,5b35915fa844441bf88b26ae
COLT MK4(콜트),3800,권총,1,30,0,28,0,0.6,0.75,28,48,1,1,1,N,103002,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,소형,5b35915fa844441bf88b26af
H&K SP89,7800,기관총,1,9,0,28,0,0.55,0.45,18,240,1,1,1,N,103003,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,소형,5b35915fa844441bf88b26b0
FAMAS(파마스),21000,기관총,2,9,0,23,0,0.6,0.65,26,300,1,1,1,N,103004,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/118.gif,N,중형,5b35915fa844441bf88b26b1
56식 소총,30000,돌격소총,2,18,0,25,0,0.43,0.35,33,200,1,1,1,N,103005,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4026.gif,N,소형,5b35915fa844441bf88b26b2
Benelli M3(베넬리),34000,샷건,2,40,0,30,0,0.38,0.25,40,29,1,1,1,N,103006,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4032.gif,N,중형,5b35915fa844441bf88b26b3
S&W Model 10/64,35000,권총,2,42,0,30,0,0.55,0.65,14,70,1,1,1,N,103007,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/103.gif,N,소형,5b35915fa844441bf88b26b4
FAMAS SV,43000,기관총,2,11,0,23,0,0.55,0.6,28,300,1,1,1,N,103008,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/118.gif,N,소형,5b35915fa844441bf88b26b5
56-1식 소총,52000,돌격소총,2,23,0,25,0,0.4,0.35,35,200,1,1,1,N,103009,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/124.gif,N,소형,5b35915fa844441bf88b26b6
Styer SPP 9mm,65000,기관총,2,13,0,25,0,0.45,0.6,20,300,1,1,1,N,103010,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4030.gif,N,소형,5b35915fa844441bf88b26b7
M16A1,98000,돌격소총,2,22,0,22,0,0.5,0.5,40,240,1,1,1,N,103011,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/139.gif,N,소형,5b35915fa844441bf88b26b8
SPAS-11(스파스),120000,샷건,3,61,0,28,0,0.33,0.3,45,38,1,1,1,N,103012,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/127.gif,N,소형,5b35915fa844441bf88b26b9
MP5K,155000,기관총,3,19,0,24,0,0.45,0.6,25,300,1,1,1,N,103013,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4029.gif,N,소형,5b35915fa844441bf88b26ba
AK-47,250000,돌격소총,3,38,0,23,0,0.35,0.35,45,200,1,1,1,N,103014,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4013.gif,N,중형,5b35915fa844441bf88b26bb
BERETTA(베레타),380000,권총,3,90,0,28,0,0.5,0.65,13,92,1,1,1,N,103015,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/244.gif,N,중형,5b35915fa844441bf88b26bc
화염방사기/T50,385000,중화기,3,33,0,10,0,0.2,0.3,60,300,1,1,1,N,103016,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/142.gif,N,중형,5b35915fa844441bf88b26bd
Styer AUG 9mm(슈타이어),410000,기관총,3,22,0,22,0,0.5,0.75,30,400,1,1,1,N,103017,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4028.gif,N,소형,5b35915fa844441bf88b26be
M16A2,550000,돌격소총,3,41,0,21,0,0.4,0.45,43,240,1,1,1,N,103018,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4031.gif,N,소형,5b35915fa844441bf88b26bf
Styer AUG A1(슈타이어),840000,기관총,3,29,0,22,0,0.45,0.7,33,400,1,1,1,N,103019,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/145.gif,N,소형,5b35915fa844441bf88b26c0
AK-74,930000,돌격소총,3,70,0,23,0,0.32,0.35,48,200,1,1,1,N,103020,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4021.gif,N,중형,5b35915fa844441bf88b26c1
K1,1050000,기관총,4,43,0,22,0,0.45,0.65,35,300,1,1,1,N,103021,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/133.gif,N,소형,5b35915fa844441bf88b26c2
Remington(레밍턴),1440000,샷건,4,184,0,26,0,0.3,0.25,60,29,1,1,1,N,103022,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/163.gif,N,중형,5b35915fa844441bf88b26c3
M4,1500000,돌격소총,4,61,0,18,0,0.37,0.45,45,240,1,1,1,N,103023,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4016.gif,N,중형,5b35915fa844441bf88b26c4
S&W Model 610,1980000,권총,4,367,0,24,0,0.42,0.6,18,29,1,1,1,N,103024,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/103.gif,N,소형,5b35915fa844441bf88b26c5
MP5/SD,2100000,기관총,4,51,0,18,0,0.45,0.7,42,300,1,1,1,N,103025,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/154.gif,N,소형,5b35915fa844441bf88b26c6
HK33KA2,2150000,저격소총,4,642,0,20,0,0.53,0.8,52,29,1,1,1,N,103026,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4014.gif,N,중형,5b35915fa844441bf88b26c7
화염방사기/T80,2845000,중화기,4,51,0,10,0,0.18,0.25,75,300,1,1,1,N,103027,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/142.gif,N,중형,5b35915fa844441bf88b26c8
G3A4,3300000,돌격소총,4,96,0,22,0,0.32,0.4,52,200,1,1,1,N,103028,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4009.gif,N,중형,5b35915fa844441bf88b26c9
HK69-A1,3800000,중화기,4,50,0,10,0,0.25,0.3,60,19,1,1,1,N,103029,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/253.gif,N,중형,5b35915fa844441bf88b26ca
