item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(ºÐ·ù),stype1(¿ø±ÙºÎÀ§),stype2(¼ºº°),clyn,order,img_src,illegal,size,_id
Hammerli ½ºÆ÷Ã÷±ÇÃÑ,500,±ÇÃÑ,1,20,0,0,0,0.8,0.95,28,48,1,1,1,N,0,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/2,N, ,5b35915fa844441bf88b26ad
Hammerli ½ºÆ÷Ã÷±â°üÃÑ,1500,±â°üÃÑ,1,4,0,0,0,0.65,0.95,28,300,1,1,1,N,1,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4,N, ,5b35915fa844441bf88b26ae
COLT MK4(ÄÝÆ®),3800,±ÇÃÑ,1,30,0,0,0,0.6,0.75,28,48,1,1,1,N,2,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/10,N, ,5b35915fa844441bf88b26af
H&K SP89,7800,±â°üÃÑ,1,9,0,0,0,0.55,0.45,18,240,1,1,1,N,3,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N, ,5b35915fa844441bf88b26b0
FAMAS(ÆÄ¸¶½º),21000,±â°üÃÑ,2,9,0,0,0,0.6,0.65,26,300,1,1,1,N,4,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/118.gif,N, ,5b35915fa844441bf88b26b1
56½Ä ¼ÒÃÑ,30000,µ¹°Ý¼ÒÃÑ,2,18,0,0,0,0.43,0.35,33,200,1,1,1,N,5,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4026.gif,N, ,5b35915fa844441bf88b26b2
Benelli M3(º£³Ú¸®),34000,¼¦°Ç,2,40,0,0,0,0.38,0.25,40,29,1,1,1,N,6,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4032.gif,N, ,5b35915fa844441bf88b26b3
S&W Model 10/64,35000,±ÇÃÑ,2,42,0,0,0,0.55,0.65,14,70,1,1,1,N,7,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/103.gif,N, ,5b35915fa844441bf88b26b4
FAMAS SV,43000,±â°üÃÑ,2,11,0,0,0,0.55,0.6,28,300,1,1,1,N,8,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/118.gif,N, ,5b35915fa844441bf88b26b5
56-1½Ä ¼ÒÃÑ,52000,µ¹°Ý¼ÒÃÑ,2,23,0,0,0,0.4,0.35,35,200,1,1,1,N,9,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/124.gif,N, ,5b35915fa844441bf88b26b6
Styer SPP 9mm,65000,±â°üÃÑ,2,13,0,0,0,0.45,0.6,20,300,1,1,1,N,10,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4030.gif,N, ,5b35915fa844441bf88b26b7
M16A1,98000,µ¹°Ý¼ÒÃÑ,2,22,0,0,0,0.5,0.5,40,240,1,1,1,N,11,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/139.gif,N, ,5b35915fa844441bf88b26b8
SPAS-11(½ºÆÄ½º),120000,¼¦°Ç,3,61,0,0,0,0.33,0.3,45,38,1,1,1,N,12,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/127.gif,N, ,5b35915fa844441bf88b26b9
MP5K,155000,±â°üÃÑ,3,19,0,0,0,0.45,0.6,25,300,1,1,1,N,13,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4029.gif,N, ,5b35915fa844441bf88b26ba
AK-47,250000,µ¹°Ý¼ÒÃÑ,3,38,0,0,0,0.35,0.35,45,200,1,1,1,N,14,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4013.gif,N, ,5b35915fa844441bf88b26bb
BERETTA(º£·¹Å¸),380000,±ÇÃÑ,3,90,0,0,0,0.5,0.65,13,92,1,1,1,N,15,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/244.gif,N, ,5b35915fa844441bf88b26bc
È­¿°¹æ»ç±â/T50,385000,ÁßÈ­±â,3,33,0,0,0,0.2,0.3,60,300,1,1,1,N,16,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/142.gif,N, ,5b35915fa844441bf88b26bd
Styer AUG 9mm(½´Å¸ÀÌ¾î),410000,±â°üÃÑ,3,22,0,0,0,0.5,0.75,30,400,1,1,1,N,17,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4028.gif,N, ,5b35915fa844441bf88b26be
M16A2,550000,µ¹°Ý¼ÒÃÑ,3,41,0,0,0,0.4,0.45,43,240,1,1,1,N,18,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4031.gif,N, ,5b35915fa844441bf88b26bf
Styer AUG A1(½´Å¸ÀÌ¾î),840000,±â°üÃÑ,3,29,0,0,0,0.45,0.7,33,400,1,1,1,N,19,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/145.gif,N, ,5b35915fa844441bf88b26c0
AK-74,930000,µ¹°Ý¼ÒÃÑ,3,70,0,0,0,0.32,0.35,48,200,1,1,1,N,20,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4021.gif,N, ,5b35915fa844441bf88b26c1
K1,1050000,±â°üÃÑ,4,43,0,0,0,0.45,0.65,35,300,1,1,1,N,21,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/133.gif,N, ,5b35915fa844441bf88b26c2
Remington(·¹¹ÖÅÏ),1440000,¼¦°Ç,4,184,0,0,0,0.3,0.25,60,29,1,1,1,N,22,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/163.gif,N, ,5b35915fa844441bf88b26c3
M4,1500000,µ¹°Ý¼ÒÃÑ,4,61,0,0,0,0.37,0.45,45,240,1,1,1,N,23,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4016.gif,N, ,5b35915fa844441bf88b26c4
S&W Model 610,1980000,±ÇÃÑ,4,367,0,0,0,0.42,0.6,18,29,1,1,1,N,24,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/103.gif,N, ,5b35915fa844441bf88b26c5
MP5/SD,2100000,±â°üÃÑ,4,51,0,0,0,0.45,0.7,42,300,1,1,1,N,25,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/154.gif,N, ,5b35915fa844441bf88b26c6
HK33KA2,2150000,Àú°Ý¼ÒÃÑ,4,642,0,0,0,0.53,0.8,52,29,1,1,1,N,26,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4014.gif,N, ,5b35915fa844441bf88b26c7
È­¿°¹æ»ç±â/T80,2845000,ÁßÈ­±â,4,51,0,0,0,0.18,0.25,75,300,1,1,1,N,27,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/142.gif,N, ,5b35915fa844441bf88b26c8
G3A4,3300000,µ¹°Ý¼ÒÃÑ,4,96,0,0,0,0.32,0.4,52,200,1,1,1,N,28,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4009.gif,N, ,5b35915fa844441bf88b26c9
HK69-A1,3800000,ÁßÈ­±â,4,50,0,0,0,0.25,0.3,60,19,1,1,1,N,29,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/253.gif,N, ,5b35915fa844441bf88b26ca
Styer AUG P(½´Å¸ÀÌ¾î),4300000,±â°üÃÑ,4,47,0,0,0,0.44,0.7,35,400,1,1,1,N,30,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4027.gif,N, ,5b35915fa844441bf88b26cb
M60,4800000,Áö¿øÈ­±â,4,88,0,0,0,0.27,0.25,70,400,1,1,1,N,31,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4022.gif,N, ,5b35915fa844441bf88b26cc
M4A1 M203,5500000,µ¹°Ý¼ÒÃÑ,5,61,0,0,0,0.37,0.45,75,240,1,1,1,N,32,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/181.gif,N, ,5b35915fa844441bf88b26cd
K2,6150000,µ¹°Ý¼ÒÃÑ,5,82,0,0,0,0.38,0.5,60,300,1,1,1,N,33,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/104.gif,N, ,5b35915fa844441bf88b26ce
MP5/A10,7000000,±â°üÃÑ,5,83,0,0,0,0.39,0.65,45,300,1,1,1,N,34,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4025.gif,N, ,5b35915fa844441bf88b26cf
H&K MSG90,7480000,Àú°Ý¼ÒÃÑ,5,1451,0,0,0,0.48,0.8,63,23,1,1,1,N,35,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4007.gif,N, ,5b35915fa844441bf88b26d0
È­¿°¹æ»ç±â/Hotdog,8125600,ÁßÈ­±â,5,75,0,0,0,0.18,0.23,90,300,1,1,1,N,36,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/142.gif,N, ,5b35915fa844441bf88b26d1
